"ds" "type" "y" "floor" "t" "y_scaled"
"1" 2000-01-01 "Agravo de Instrumento" 12 0 0 0.000903546419697312
"2" 2000-02-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 1 0 0.00473716381418093 7.5295534974776e-05
"3" 2000-02-01 "Agravo" 4 0 0.00473716381418093 0.000301182139899104
"4" 2000-02-01 "Agravo de Instrumento" 35 0 0.00473716381418093 0.00263534372411716
"5" 2000-02-01 "Agravo Regimental" 2 0 0.00473716381418093 0.000150591069949552
"6" 2000-02-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 151 0 0.00473716381418093 0.0113696257811912
"7" 2000-02-01 "Apela\xc3\xa7\xc3\xa3o Crime" 1 0 0.00473716381418093 7.5295534974776e-05
"8" 2000-02-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 25 0 0.00473716381418093 0.0018823883743694
"9" 2000-02-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 2 0 0.00473716381418093 0.000150591069949552
"10" 2000-02-01 "Reexame Necess\xc3\xa1rio" 1 0 0.00473716381418093 7.5295534974776e-05
"11" 2000-03-01 "Agravo" 17 0 0.00916870415647922 0.00128002409457119
"12" 2000-03-01 "Agravo de Instrumento" 93 0 0.00916870415647922 0.00700248475265417
"13" 2000-03-01 "Agravo Interno" 3 0 0.00916870415647922 0.000225886604924328
"14" 2000-03-01 "Agravo Regimental" 6 0 0.00916870415647922 0.000451773209848656
"15" 2000-03-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 279 0 0.00916870415647922 0.0210074542579625
"16" 2000-03-01 "Apela\xc3\xa7\xc3\xa3o Crime" 5 0 0.00916870415647922 0.00037647767487388
"17" 2000-03-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 119 0 0.00916870415647922 0.00896016866199834
"18" 2000-03-01 "Conflito de Compet\xc3\xaancia" 2 0 0.00916870415647922 0.000150591069949552
"19" 2000-03-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 30 0 0.00916870415647922 0.00225886604924328
"20" 2000-03-01 "Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o" 1 0 0.00916870415647922 7.5295534974776e-05
"21" 2000-03-01 "Reexame Necess\xc3\xa1rio" 21 0 0.00916870415647922 0.0015812062344703
"22" 2000-04-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 2 0 0.0139058679706601 0.000150591069949552
"23" 2000-04-01 "Agravo" 18 0 0.0139058679706601 0.00135531962954597
"24" 2000-04-01 "Agravo de Instrumento" 145 0 0.0139058679706601 0.0109178525713425
"25" 2000-04-01 "Agravo Regimental" 8 0 0.0139058679706601 0.000602364279798208
"26" 2000-04-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 343 0 0.0139058679706601 0.0258263684963482
"27" 2000-04-01 "Apela\xc3\xa7\xc3\xa3o Crime" 3 0 0.0139058679706601 0.000225886604924328
"28" 2000-04-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 89 0 0.0139058679706601 0.00670130261275506
"29" 2000-04-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 19 0 0.0139058679706601 0.00143061516452074
"30" 2000-04-01 "Habeas Corpus" 2 0 0.0139058679706601 0.000150591069949552
"31" 2000-04-01 "Mandado de Seguran\xc3\xa7a" 3 0 0.0139058679706601 0.000225886604924328
"32" 2000-04-01 "Outros Feitos" 1 0 0.0139058679706601 7.5295534974776e-05
"33" 2000-04-01 "Reexame Necess\xc3\xa1rio" 14 0 0.0139058679706601 0.00105413748964686
"34" 2000-05-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 2 0 0.0184902200488998 0.000150591069949552
"35" 2000-05-01 "Agravo" 11 0 0.0184902200488998 0.000828250884722536
"36" 2000-05-01 "Agravo de Instrumento" 319 0 0.0184902200488998 0.0240192756569535
"37" 2000-05-01 "Agravo Interno" 4 0 0.0184902200488998 0.000301182139899104
"38" 2000-05-01 "Agravo Regimental" 5 0 0.0184902200488998 0.00037647767487388
"39" 2000-05-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 596 0 0.0184902200488998 0.0448761388449665
"40" 2000-05-01 "Apela\xc3\xa7\xc3\xa3o Crime" 7 0 0.0184902200488998 0.000527068744823432
"41" 2000-05-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 53 0 0.0184902200488998 0.00399066335366313
"42" 2000-05-01 "Conflito de Compet\xc3\xaancia" 1 0 0.0184902200488998 7.5295534974776e-05
"43" 2000-05-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 78 0 0.0184902200488998 0.00587305172803253
"44" 2000-05-01 "Habeas Corpus" 3 0 0.0184902200488998 0.000225886604924328
"45" 2000-05-01 "Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa" 1 0 0.0184902200488998 7.5295534974776e-05
"46" 2000-05-01 "Mandado de Seguran\xc3\xa7a" 1 0 0.0184902200488998 7.5295534974776e-05
"47" 2000-05-01 "Medida Cautelar" 1 0 0.0184902200488998 7.5295534974776e-05
"48" 2000-05-01 "Reexame Necess\xc3\xa1rio" 16 0 0.0184902200488998 0.00120472855959642
"49" 2000-06-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 3 0 0.0232273838630807 0.000225886604924328
"50" 2000-06-01 "Agravo" 58 0 0.0232273838630807 0.00436714102853701
"51" 2000-06-01 "Agravo de Instrumento" 411 0 0.0232273838630807 0.0309464648746329
"52" 2000-06-01 "Agravo Interno" 27 0 0.0232273838630807 0.00203297944431895
"53" 2000-06-01 "Agravo Regimental" 10 0 0.0232273838630807 0.00075295534974776
"54" 2000-06-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 1170 0 0.0232273838630807 0.0880957759204879
"55" 2000-06-01 "Apela\xc3\xa7\xc3\xa3o Crime" 45 0 0.0232273838630807 0.00338829907386492
"56" 2000-06-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 157 0 0.0232273838630807 0.0118213989910398
"57" 2000-06-01 "Conflito de Compet\xc3\xaancia" 4 0 0.0232273838630807 0.000301182139899104
"58" 2000-06-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 362 0 0.0232273838630807 0.0272569836608689
"59" 2000-06-01 "Habeas Corpus" 26 0 0.0232273838630807 0.00195768390934418
"60" 2000-06-01 "Mandado de Seguran\xc3\xa7a" 3 0 0.0232273838630807 0.000225886604924328
"61" 2000-06-01 "Medida Cautelar Inominada" 1 0 0.0232273838630807 7.5295534974776e-05
"62" 2000-06-01 "Outros Feitos" 2 0 0.0232273838630807 0.000150591069949552
"63" 2000-06-01 "Outros Incidentes" 1 0 0.0232273838630807 7.5295534974776e-05
"64" 2000-06-01 "Processo Crime" 3 0 0.0232273838630807 0.000225886604924328
"65" 2000-06-01 "Recurso Crime" 2 0 0.0232273838630807 0.000150591069949552
"66" 2000-06-01 "Recurso de Of\xc3\xadcio" 1 0 0.0232273838630807 7.5295534974776e-05
"67" 2000-06-01 "Recurso em Sentido Estrito" 5 0 0.0232273838630807 0.00037647767487388
"68" 2000-06-01 "Reexame Necess\xc3\xa1rio" 16 0 0.0232273838630807 0.00120472855959642
"69" 2000-07-01 "Agravo" 5 0 0.0278117359413203 0.00037647767487388
"70" 2000-07-01 "Agravo Regimental" 1 0 0.0278117359413203 7.5295534974776e-05
"71" 2000-07-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 1 0 0.0278117359413203 7.5295534974776e-05
"72" 2000-07-01 "Apela\xc3\xa7\xc3\xa3o Crime" 46 0 0.0278117359413203 0.0034635946088397
"73" 2000-07-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 1 0 0.0278117359413203 7.5295534974776e-05
"74" 2000-07-01 "Habeas Corpus" 43 0 0.0278117359413203 0.00323770800391537
"75" 2000-07-01 "Mandado de Seguran\xc3\xa7a" 1 0 0.0278117359413203 7.5295534974776e-05
